packet_number,source_mac,ssid,has_vendor_specific,is_drone_id
605,16:11:32:a5:2f:c9,,true,false
606,00:11:32:a5:2f:c9,CBJR,true,false
607,22:11:32:a5:2f:c9,CBJRGuest,true,false
608,16:11:32:a5:2f:c9,,true,false
609,00:11:32:a5:2f:c9,CBJR,true,false
610,22:11:32:a5:2f:c9,CBJRGuest,true,false
611,16:11:32:a5:2f:c9,,true,false
613,00:11:32:a5:2f:c9,CBJR,true,false
614,22:11:32:a5:2f:c9,CBJRGuest,true,false
615,00:11:32:a5:2f:c9,CBJR,true,false
616,16:11:32:a5:2f:c9,,true,false
617,22:11:32:a5:2f:c9,CBJRGuest,true,false
618,16:11:32:a5:2f:c9,,true,false
619,00:11:32:a5:2f:c9,CBJR,true,false
620,22:11:32:a5:2f:c9,CBJRGuest,true,false
621,16:11:32:a5:2f:c9,,true,false
622,00:11:32:a5:2f:c9,CBJR,true,false
623,22:11:32:a5:2f:c9,CBJRGuest,true,false
624,16:11:32:a5:2f:c9,,true,false
625,00:11:32:a5:2f:c9,CBJR,true,false
626,22:11:32:a5:2f:c9,CBJRGuest,true,false
627,00:11:32:a5:2f:c9,CBJR,true,false
628,22:11:32:a5:2f:c9,CBJRGuest,true,false
629,16:11:32:a5:2f:c9,,true,false
630,00:11:32:a5:2f:c9,CBJR,true,false
631,22:11:32:a5:2f:c9,CBJRGuest,true,false
632,16:11:32:a5:2f:c9,,true,false
633,00:11:32:a5:2f:c9,CBJR,true,false
634,22:11:32:a5:2f:c9,CBJRGuest,true,false
635,16:11:32:a5:2f:c9,,true,false
637,00:11:32:a5:2f:c9,CBJR,true,false
638,16:11:32:a5:2f:c9,,true,false
639,00:11:32:a5:2f:c9,CBJR,true,false
640,22:11:32:a5:2f:c9,CBJRGuest,true,false
641,16:11:32:a5:2f:c9,,true,false
642,00:11:32:a5:2f:c9,CBJR,true,false
643,22:11:32:a5:2f:c9,CBJRGuest,true,false
644,16:11:32:a5:2f:c9,,true,false
646,00:11:32:a5:2f:c9,CBJR,true,false
647,22:11:32:a5:2f:c9,CBJRGuest,true,false
648,16:11:32:a5:2f:c9,,true,false
649,00:11:32:a5:2f:c9,CBJR,true,false
650,22:11:32:a5:2f:c9,CBJRGuest,true,false
651,16:11:32:a5:2f:c9,,true,false
661,00:11:32:a5:2f:c9,CBJR,true,false
662,22:11:32:a5:2f:c9,CBJRGuest,true,false
663,00:11:32:a5:2f:c9,CBJR,true,false
664,22:11:32:a5:2f:c9,CBJRGuest,true,false
665,16:11:32:a5:2f:c9,,true,false
677,00:11:32:a5:2f:c9,CBJR,true,false
678,22:11:32:a5:2f:c9,CBJRGuest,true,false
679,16:11:32:a5:2f:c9,,true,false
680,00:11:32:a5:2f:c9,CBJR,true,false
681,22:11:32:a5:2f:c9,CBJRGuest,true,false
682,16:11:32:a5:2f:c9,,true,false
684,00:11:32:a5:2f:c9,CBJR,true,false
685,22:11:32:a5:2f:c9,CBJRGuest,true,false
686,16:11:32:a5:2f:c9,,true,false
689,00:11:32:a5:2f:c9,CBJR,true,false
690,22:11:32:a5:2f:c9,CBJRGuest,true,false
691,16:11:32:a5:2f:c9,,true,false
693,00:11:32:a5:2f:c9,CBJR,true,false
694,22:11:32:a5:2f:c9,CBJRGuest,true,false
695,16:11:32:a5:2f:c9,,true,false
696,00:11:32:a5:2f:c9,CBJR,true,false
697,22:11:32:a5:2f:c9,CBJRGuest,true,false
698,16:11:32:a5:2f:c9,,true,false
699,00:11:32:a5:2f:c9,CBJR,true,false
700,22:11:32:a5:2f:c9,CBJRGuest,true,false
701,16:11:32:a5:2f:c9,,true,false
702,00:11:32:a5:2f:c9,CBJR,true,false
703,22:11:32:a5:2f:c9,CBJRGuest,true,false
704,16:11:32:a5:2f:c9,,true,false
705,00:11:32:a5:2f:c9,CBJR,true,false
706,22:11:32:a5:2f:c9,CBJRGuest,true,false
707,16:11:32:a5:2f:c9,,true,false
708,00:11:32:a5:2f:c9,CBJR,true,false
709,22:11:32:a5:2f:c9,CBJRGuest,true,false
710,16:11:32:a5:2f:c9,,true,false
711,00:11:32:a5:2f:c9,CBJR,true,false
712,22:11:32:a5:2f:c9,CBJRGuest,true,false
713,16:11:32:a5:2f:c9,,true,false
714,00:11:32:a5:2f:c9,CBJR,true,false
715,22:11:32:a5:2f:c9,CBJRGuest,true,false
716,16:11:32:a5:2f:c9,,true,false
717,00:11:32:a5:2f:c9,CBJR,true,false
718,22:11:32:a5:2f:c9,CBJRGuest,true,false
719,16:11:32:a5:2f:c9,,true,false
721,00:11:32:a5:2f:c9,CBJR,true,false
722,22:11:32:a5:2f:c9,CBJRGuest,true,false
723,16:11:32:a5:2f:c9,,true,false
726,00:11:32:a5:2f:c9,CBJR,true,false
